Date,Australian Dollar,Brazilian Real,Canadian Dollar,Chinese Yuan,Euro,Japanese Yen,Polish Zloty,Sweden Krona,Thai Baht,US Dollar
10/6/2016,-15.17,-18.74,-12.58,-14.64,-13.75,-17.71,-15.12,-10.43,-16.49,-15.79
10/7/2016,-16.42,-20.06,-13.31,-15.85,-15.38,-19.7,-16.58,-11.71,-17.61,-16.99
10/9/2016,-16.53,-20.12,-13.54,-15.87,-15.29,-19.54,-16.68,-11.6,-17.65,-17.01
10/10/2016,-17.09,-20.93,-14.64,-15.87,-15.39,-19.62,-16.96,-11.99,-17.48,-17.47
10/11/2016,-17.99,-22.64,-15.74,-17.42,-16.44,-21.26,-17.64,-12.03,-18.38,-19.11
10/12/2016,-17.81,-22.11,-15.16,-16.91,-15.56,-20.27,-16.54,-11.16,-17.37,-18.59
10/13/2016,-17.45,-22.27,-15.29,-16.44,-15.56,-20.38,-16.55,-11.42,-17.69,-18.27
10/14/2016,-18.41,-22.03,-16.03,-16.83,-15.34,-20.36,-16.02,-11.37,-18.21,-18.66
10/16/2016,-18.54,-22.12,-16.17,-16.93,-15.44,-20.41,-16.16,-11.45,-18.29,-18.78
10/17/2016,-18.6,-22.13,-16.13,-16.78,-15.59,-20.61,-16,-11.67,-18.44,-18.67
10/18/2016,-18.25,-21.74,-15.45,-15.89,-14.59,-19.85,-15.22,-10.64,-18.23,-17.88
10/19/2016,-18.86,-22.29,-15.49,-16.1,-14.67,-20.35,-15.36,-10.7,-18.65,-18
10/20/2016,-18.06,-23.26,-15,-16.18,-14.54,-20.1,-15.1,-10.58,-18.56,-18.22
10/21/2016,-18,-23.07,-14.44,-16.11,-14.35,-20.33,-14.82,-10.33,-18.39,-18.37
10/23/2016,-18.05,-23.17,-14.51,-16.22,-14.38,-20.38,-14.88,-10.35,-18.49,-18.42
10/24/2016,-18,-23.87,-14.48,-16.05,-14.34,-20.1,-14.87,-10.31,-18.67,-18.43
10/25/2016,-18.74,-24.27,-14.69,-16.22,-14.72,-20.34,-15.26,-10.52,-19.26,-18.69
10/26/2016,-18.34,-23.29,-14.14,-15.92,-14.48,-19.8,-14.86,-10.24,-18.55,-18.31
10/27/2016,-18.23,-23,-14.57,-16.28,-14.89,-19.64,-15.08,-9.11,-18.84,-18.79
10/28/2016,-18.2,-22.01,-14.4,-16.26,-15.45,-19.96,-15.64,-9.69,-18.95,-18.63
10/30/2016,-18.1,-22.01,-14.24,-16.61,-15.39,-20.02,-15.57,-9.59,-18.87,-18.6
10/31/2016,-17.92,-21.79,-13.91,-15.9,-15.02,-19.55,-15.78,-9.05,-18.6,-18.3
11/1/2016,-18.46,-20.89,-14.07,-16,-15.63,-20.09,-16.48,-9.75,-18.55,-18.3
11/2/2016,-18.09,-20.09,-13.63,-15.75,-15.52,-20.28,-15.93,-9.72,-18.34,-17.9
11/3/2016,-17.24,-18.86,-12.43,-14.52,-14.48,-19.52,-15.04,-8.04,-17.25,-16.81
11/4/2016,-16.85,-19.27,-12.06,-14.29,-14.39,-19.07,-14.8,-7.89,-16.97,-16.44
11/6/2016,-17.09,-19.5,-12.59,-14.59,-14.26,-18.75,-15.09,-8.03,-17.19,-16.76
11/7/2016,-18.18,-20.78,-13.12,-14.81,-14.46,-18.72,-14.79,-8,-17.65,-17.27
11/8/2016,-18.5,-21.75,-13.79,-14.85,-14.4,-18.43,-14.68,-8.63,-17.92,-17.42
11/9/2016,-17.12,-19.88,-12.66,-14.66,-13.35,-17.71,-13.44,-7.37,-17.49,-17.11
11/10/2016,-15.92,-15.12,-11.37,-13.42,-12.12,-15.91,-11.63,-6.61,-15.9,-16.24
11/11/2016,-14.91,-14.75,-10.57,-12.95,-11.57,-15.72,-9.85,-5.77,-15.33,-15.89
11/13/2016,-14.98,-14.82,-10.78,-12.94,-11.52,-15.73,-10.15,-5.71,-15.44,-16.05
11/14/2016,-15.68,-14.38,-11.18,-13.21,-11.31,-15.08,-9.75,-5.86,-15.77,-16.55
11/15/2016,-15.98,-14.52,-12.18,-13.41,-11.53,-14.88,-10.24,-5.9,-16.22,-16.92
11/16/2016,-15.28,-14.58,-12.35,-14.33,-11.38,-15.04,-9.19,-5.95,-16.15,-16.95
11/17/2016,-14.55,-15.19,-12,-13.43,-10.97,-14.22,-9.06,-5.59,-16.32,-17.14
11/18/2016,-14.12,-16.61,-12.52,-13.73,-11.1,-14.07,-9.25,-5.58,-16.58,-17.54
11/20/2016,-14.09,-16.58,-12.55,-13.72,-11.1,-14.08,-9.22,-5.91,-16.59,-17.56
11/21/2016,-13.55,-15.53,-12.11,-12.72,-10.44,-13.17,-8.78,-5.29,-15.57,-16.65
11/22/2016,-14.39,-16.88,-12.47,-13.22,-10.9,-13.42,-9.46,-5.79,-16.27,-17.08
11/23/2016,-14.13,-15.46,-12.01,-12.74,-10.2,-12.2,-8.41,-4.99,-15.71,-17.08
11/24/2016,-14.22,-15.72,-11.9,-12.62,-10.1,-11.47,-8.53,-5.24,-15.67,-16.89
11/25/2016,-14.51,-14.8,-11.55,-12.46,-10.24,-11.43,-8.72,-5.17,-15.63,-16.69
11/27/2016,-14.54,-14.83,-11.64,-12.55,-10.35,-11.72,-8.9,-5.26,-15.63,-16.79
11/28/2016,-15.46,-15.88,-12.77,-13.1,-10.84,-12.91,-9.3,-5.91,-16.17,-17.25
11/29/2016,-14.89,-14.12,-12.02,-12.57,-10.6,-11.86,-8.78,-5.71,-15.31,-16.63
11/30/2016,-13.61,-14.89,-11.89,-12.59,-9.99,-10.25,-7.73,-5.01,-15.06,-16.48
12/1/2016,-13.35,-10.23,-12.04,-12.03,-9.93,-9.79,-6.94,-4.36,-14.5,-15.92
12/2/2016,-12.95,-11.71,-11.3,-11.13,-9.05,-9.39,-6.24,-3.48,-13.97,-15.01
12/4/2016,-13.12,-12.24,-11.59,-11.92,-8.6,-10.25,-6.75,-3.34,-14.34,-15.59
12/5/2016,-13.12,-13.08,-11.42,-3.42,-9.84,-9.11,-6.71,-4.49,-13.9,-15.02
12/6/2016,-13.31,-13.78,-11.73,-3.84,-9.84,-9.29,-7.5,-4.72,-14.26,-15.36
12/7/2016,-13.94,-14.75,-12.42,-11.84,-10.55,-9.99,-8.78,-5.79,-14.64,-15.71
12/8/2016,-13.87,-15.27,-12.95,-12.31,-9.68,-9.96,-7.69,-5.53,-14.86,-16.05
12/9/2016,-13.91,-15.17,-13.12,-11.99,-9.24,-9.05,-7.05,-4.96,-14.79,-16.07
12/11/2016,-13.8,-15.16,-13.38,-11.94,-9.06,-8.84,-6.98,-4.77,-14.78,-16.01
12/12/2016,-13.77,-15.48,-12.76,-11.1,-9.18,-8.67,-7.02,-4.45,-14.37,-15.38
12/13/2016,-13.85,-15.73,-12.82,-11.4,-9.21,-8.5,-7.57,-4.58,-14.57,-15.5
12/14/2016,-13.53,-15.59,-12.63,-12.12,-9.19,-7.77,-7.33,-4.37,-15.04,-16.28
